,celltype
0,ExcitatoryL4
1,ExcitatoryL2and3
2,ExcitatoryL6
3,ExcitatoryL4
4,ExcitatoryL4
5,ExcitatoryL2and3
6,ExcitatoryL6
7,ExcitatoryL6
8,ExcitatoryL5
9,ExcitatoryL6
10,Olig
11,Endo
12,ExcitatoryL2and3
13,ExcitatoryL5
14,ExcitatoryL6
15,Micro
16,ExcitatoryL4
17,ExcitatoryL2and3
18,ExcitatoryL2and3
19,ExcitatoryL2and3
20,ExcitatoryL2and3
21,ExcitatoryL6
22,Endo
23,Olig
24,Endo
25,Astro
26,ExcitatoryL6
27,ExcitatoryL4
28,ExcitatoryL4
29,ExcitatoryL6
30,ExcitatoryL4
31,Astro
32,ExcitatoryL2and3
33,Endo
34,ExcitatoryL2and3
35,ExcitatoryL5
36,ExcitatoryL2and3
37,Other
38,Endo
39,ExcitatoryL4
40,Astro
41,ExcitatoryL5
42,ExcitatoryL5
43,Olig
44,ExcitatoryL6
45,ExcitatoryL5
46,ExcitatoryL5
47,Olig
48,Olig
49,ExcitatoryL2and3
50,Endo
51,ExcitatoryL6
52,ExcitatoryL4
53,Micro
54,ExcitatoryL2and3
55,Endo
56,ExcitatoryL2and3
57,ExcitatoryL6
58,Endo
59,ExcitatoryL2and3
60,Astro
61,Olig
62,ExcitatoryL6
63,ExcitatoryL4
64,Olig
65,ExcitatoryL4
66,ExcitatoryL6
67,Endo
68,ExcitatoryL5
69,ExcitatoryL4
70,ExcitatoryL2and3
71,ExcitatoryL6
72,Endo
73,ExcitatoryL2and3
74,Micro
75,Olig
76,Olig
77,ExcitatoryL5
78,Olig
79,HPC
80,ExcitatoryL2and3
81,Olig
82,Vip
83,ExcitatoryL6
84,Olig
85,ExcitatoryL4
86,ExcitatoryL4
87,ExcitatoryL6
88,ExcitatoryL4
89,ExcitatoryL6
90,Endo
91,ExcitatoryL6
92,ExcitatoryL4
93,ExcitatoryL6
94,ExcitatoryL6
95,ExcitatoryL2and3
96,Astro
97,ExcitatoryL2and3
98,ExcitatoryL4
99,ExcitatoryL4
100,Olig
101,ExcitatoryL6
102,ExcitatoryL4
103,HPC
104,Endo
105,ExcitatoryL6
106,Pvalb
107,ExcitatoryL2and3
108,Olig
109,ExcitatoryL4
110,ExcitatoryL4
111,Vip
112,ExcitatoryL6
113,ExcitatoryL6
114,Olig
115,Sst
116,Sst
117,ExcitatoryL5
118,ExcitatoryL4
119,ExcitatoryL4
120,ExcitatoryL5
121,ExcitatoryL4
122,Astro
123,Sst
124,Olig
125,ExcitatoryL6
126,Astro
127,Endo
128,ExcitatoryL6
129,Olig
130,ExcitatoryL6
131,ExcitatoryL6
132,ExcitatoryL4
133,Olig
134,ExcitatoryL5
135,ExcitatoryL6
136,Sst
137,ExcitatoryL4
138,ExcitatoryL2and3
139,Olig
140,Endo
141,ExcitatoryL2and3
142,Olig
143,Astro
144,ExcitatoryL6
145,ExcitatoryL2and3
146,ExcitatoryL2and3
147,ExcitatoryL6
148,ExcitatoryL2and3
149,ExcitatoryL5
150,Endo
151,Olig
152,ExcitatoryL6
153,Olig
154,ExcitatoryL5
155,Olig
156,Other
157,Endo
158,Endo
159,Sst
160,ExcitatoryL6
161,Other
162,Sst
163,ExcitatoryL2and3
164,Endo
165,ExcitatoryL2and3
166,Endo
167,Endo
168,Endo
169,ExcitatoryL5
170,Other
171,Olig
172,ExcitatoryL6
173,Astro
174,ExcitatoryL6
175,ExcitatoryL4
176,ExcitatoryL2and3
177,ExcitatoryL4
178,Other
179,Endo
180,ExcitatoryL6
181,Endo
182,Endo
183,ExcitatoryL4
184,ExcitatoryL6
185,ExcitatoryL4
186,Sst
187,Sst
188,Astro
189,Astro
190,ExcitatoryL6
191,ExcitatoryL6
192,Astro
193,Endo
194,Olig
195,ExcitatoryL6
196,ExcitatoryL5
197,Pvalb
198,Endo
199,Endo
200,Other
201,ExcitatoryL2and3
202,ExcitatoryL6
203,Endo
204,Astro
205,Endo
206,ExcitatoryL2and3
207,Endo
208,ExcitatoryL2and3
209,ExcitatoryL6
210,Endo
211,ExcitatoryL4
212,ExcitatoryL6
213,ExcitatoryL2and3
214,ExcitatoryL2and3
215,ExcitatoryL6
216,Endo
217,ExcitatoryL5
218,ExcitatoryL6
219,ExcitatoryL4
220,Astro
221,ExcitatoryL6
222,Endo
223,Endo
224,ExcitatoryL6
225,Astro
226,ExcitatoryL5
227,Sst
228,Pvalb
229,ExcitatoryL2and3
230,Astro
231,Endo
232,Endo
233,ExcitatoryL2and3
234,Endo
235,ExcitatoryL2and3
236,Other
237,Endo
238,Endo
239,Endo
240,Endo
241,Astro
242,ExcitatoryL2and3
243,Olig
244,ExcitatoryL6
245,ExcitatoryL2and3
246,ExcitatoryL2and3
247,Astro
248,ExcitatoryL2and3
249,ExcitatoryL6
250,Endo
251,ExcitatoryL5
252,ExcitatoryL6
253,Endo
254,Olig
255,ExcitatoryL5
256,Olig
257,ExcitatoryL6
258,ExcitatoryL6
259,Astro
260,ExcitatoryL6
261,ExcitatoryL2and3
262,Endo
263,ExcitatoryL6
264,Olig
265,Endo
266,Olig
267,Vip
268,ExcitatoryL6
269,ExcitatoryL6
270,Other
271,Olig
272,ExcitatoryL6
273,Endo
274,Endo
275,Olig
276,Endo
277,ExcitatoryL2and3
278,Olig
279,Astro
280,ExcitatoryL2and3
281,ExcitatoryL5
282,Astro
283,Endo
284,Endo
285,Olig
286,Endo
287,Endo
288,Sst
289,ExcitatoryL2and3
290,Endo
291,Olig
292,ExcitatoryL4
293,Micro
294,Olig
295,ExcitatoryL6
296,ExcitatoryL2and3
297,Endo
298,Endo
299,ExcitatoryL2and3
300,ExcitatoryL6
301,Endo
302,Endo
303,Olig
304,ExcitatoryL6
305,Vip
306,Other
307,Astro
308,ExcitatoryL2and3
309,Olig
310,ExcitatoryL6
311,Endo
312,Other
313,Astro
314,ExcitatoryL2and3
315,ExcitatoryL4
316,ExcitatoryL6
317,ExcitatoryL6
318,ExcitatoryL6
319,Endo
320,ExcitatoryL2and3
321,Endo
322,Olig
323,Olig
324,Astro
325,ExcitatoryL6
326,Olig
327,ExcitatoryL6
328,ExcitatoryL4
329,Astro
330,Endo
331,Pvalb
332,ExcitatoryL6
333,Sst
334,Olig
335,Olig
336,ExcitatoryL6
337,Endo
338,Endo
339,ExcitatoryL4
340,ExcitatoryL2and3
341,Olig
342,Endo
343,ExcitatoryL4
344,ExcitatoryL6
345,ExcitatoryL6
346,ExcitatoryL4
347,ExcitatoryL2and3
348,ExcitatoryL4
349,ExcitatoryL6
350,ExcitatoryL6
351,ExcitatoryL6
352,Astro
353,Olig
354,Astro
355,ExcitatoryL2and3
356,ExcitatoryL5
357,Vip
358,ExcitatoryL5
359,ExcitatoryL2and3
360,Astro
361,Astro
362,Pvalb
363,ExcitatoryL4
364,Endo
365,Endo
366,ExcitatoryL4
367,ExcitatoryL5
368,Olig
369,Pvalb
370,Vip
371,ExcitatoryL5
372,ExcitatoryL2and3
373,Astro
374,ExcitatoryL6
375,Astro
376,ExcitatoryL4
377,ExcitatoryL2and3
378,ExcitatoryL5
379,ExcitatoryL4
380,ExcitatoryL6
381,ExcitatoryL2and3
382,ExcitatoryL4
383,Endo
384,Endo
385,ExcitatoryL2and3
386,ExcitatoryL5
387,HPC
388,Micro
389,ExcitatoryL2and3
390,Olig
391,ExcitatoryL6
392,Olig
393,ExcitatoryL6
394,Olig
395,ExcitatoryL6
396,Olig
397,Other
398,ExcitatoryL4
399,ExcitatoryL6
400,ExcitatoryL6
401,HPC
402,ExcitatoryL4
403,ExcitatoryL2and3
404,Olig
405,Endo
406,Pvalb
407,ExcitatoryL6
408,ExcitatoryL4
409,Other
410,ExcitatoryL6
411,Npy
412,ExcitatoryL6
413,Micro
414,ExcitatoryL5
415,ExcitatoryL5
416,ExcitatoryL6
417,ExcitatoryL2and3
418,ExcitatoryL2and3
419,ExcitatoryL2and3
420,Astro
421,Olig
422,ExcitatoryL2and3
423,ExcitatoryL6
424,Micro
425,Endo
426,Astro
427,Pvalb
428,Endo
429,Olig
430,Astro
431,ExcitatoryL6
432,ExcitatoryL6
433,Vip
434,Endo
435,ExcitatoryL4
436,Sst
437,ExcitatoryL6
438,ExcitatoryL4
439,Olig
440,ExcitatoryL6
441,Endo
442,ExcitatoryL2and3
443,Astro
444,Astro
445,Vip
446,Endo
447,Astro
448,ExcitatoryL4
449,Olig
450,Endo
451,Vip
452,Olig
453,ExcitatoryL2and3
454,Olig
455,Sst
456,Endo
457,ExcitatoryL6
458,ExcitatoryL2and3
459,Olig
460,Pvalb
461,ExcitatoryL2and3
462,ExcitatoryL6
463,ExcitatoryL6
464,Micro
465,ExcitatoryL2and3
466,Endo
467,ExcitatoryL4
468,Pvalb
469,ExcitatoryL6
470,HPC
471,Sst
472,ExcitatoryL6
473,ExcitatoryL6
474,Pvalb
475,ExcitatoryL2and3
476,ExcitatoryL2and3
477,ExcitatoryL4
478,Olig
479,ExcitatoryL6
480,Olig
481,ExcitatoryL2and3
482,Olig
483,ExcitatoryL4
484,ExcitatoryL2and3
485,Other
486,Olig
487,ExcitatoryL6
488,Astro
489,Endo
490,Npy
491,ExcitatoryL6
492,ExcitatoryL4
493,ExcitatoryL5
494,ExcitatoryL4
495,Olig
496,ExcitatoryL4
497,ExcitatoryL6
498,ExcitatoryL2and3
499,ExcitatoryL6
500,Olig
501,ExcitatoryL6
502,ExcitatoryL2and3
503,ExcitatoryL4
504,Endo
505,Astro
506,ExcitatoryL2and3
507,ExcitatoryL6
508,ExcitatoryL4
509,Astro
510,ExcitatoryL2and3
511,ExcitatoryL6
512,ExcitatoryL6
513,ExcitatoryL4
514,Endo
515,Astro
516,ExcitatoryL4
517,ExcitatoryL4
518,ExcitatoryL4
519,ExcitatoryL2and3
520,Micro
521,ExcitatoryL6
522,Astro
523,ExcitatoryL2and3
524,Astro
525,Olig
526,ExcitatoryL5
527,ExcitatoryL2and3
528,ExcitatoryL6
529,ExcitatoryL4
530,ExcitatoryL2and3
531,HPC
532,Endo
533,ExcitatoryL2and3
534,ExcitatoryL6
535,ExcitatoryL4
536,Olig
537,Endo
538,ExcitatoryL4
539,Other
540,ExcitatoryL2and3
541,ExcitatoryL5
542,ExcitatoryL4
543,ExcitatoryL4
544,ExcitatoryL4
545,ExcitatoryL6
546,Astro
547,Astro
548,Endo
549,ExcitatoryL4
550,Astro
551,ExcitatoryL2and3
552,ExcitatoryL6
553,ExcitatoryL6
554,Olig
555,ExcitatoryL4
556,Sst
557,ExcitatoryL6
558,Astro
559,Olig
560,Other
561,ExcitatoryL4
562,Vip
563,ExcitatoryL2and3
564,ExcitatoryL6
565,ExcitatoryL2and3
566,Astro
567,ExcitatoryL4
568,ExcitatoryL2and3
569,ExcitatoryL2and3
570,ExcitatoryL2and3
571,Olig
572,Olig
573,ExcitatoryL4
574,Micro
575,ExcitatoryL6
576,ExcitatoryL5
577,Astro
578,ExcitatoryL2and3
579,ExcitatoryL6
580,ExcitatoryL5
581,Sst
582,ExcitatoryL5
583,ExcitatoryL2and3
584,ExcitatoryL2and3
585,ExcitatoryL5
586,ExcitatoryL5
587,Other
588,Olig
589,ExcitatoryL2and3
590,ExcitatoryL2and3
591,Olig
592,Olig
593,Astro
594,Endo
595,ExcitatoryL4
596,ExcitatoryL2and3
597,ExcitatoryL4
598,ExcitatoryL6
599,ExcitatoryL6
600,Other
601,Astro
602,Astro
603,Other
604,Olig
605,ExcitatoryL6
606,ExcitatoryL5
607,ExcitatoryL2and3
608,Olig
609,ExcitatoryL2and3
610,ExcitatoryL2and3
611,ExcitatoryL4
612,ExcitatoryL6
613,ExcitatoryL6
614,Olig
615,ExcitatoryL6
616,ExcitatoryL2and3
617,Endo
618,Olig
619,Astro
620,ExcitatoryL5
621,Olig
622,ExcitatoryL5
623,ExcitatoryL2and3
624,Pvalb
625,Astro
626,ExcitatoryL2and3
627,ExcitatoryL4
628,ExcitatoryL4
629,Astro
630,Olig
631,HPC
632,ExcitatoryL4
633,ExcitatoryL4
634,Olig
635,ExcitatoryL5
636,Olig
637,ExcitatoryL4
638,Endo
639,Olig
640,ExcitatoryL5
641,Other
642,Olig
643,Olig
644,Npy
645,Other
646,ExcitatoryL2and3
647,ExcitatoryL6
648,Other
649,ExcitatoryL6
650,ExcitatoryL6
651,Endo
652,ExcitatoryL2and3
653,Olig
654,Pvalb
655,ExcitatoryL2and3
656,Olig
657,Astro
658,Astro
659,Endo
660,ExcitatoryL6
661,ExcitatoryL4
662,ExcitatoryL4
663,Olig
664,ExcitatoryL6
665,ExcitatoryL4
666,Pvalb
667,Olig
668,ExcitatoryL2and3
669,ExcitatoryL4
670,Npy
671,ExcitatoryL4
672,ExcitatoryL5
673,Olig
674,Pvalb
675,Sst
676,ExcitatoryL6
677,ExcitatoryL4
678,Olig
679,Micro
680,ExcitatoryL2and3
681,Micro
682,Astro
683,ExcitatoryL6
684,ExcitatoryL5
685,Sst
686,ExcitatoryL6
687,Olig
688,ExcitatoryL4
689,ExcitatoryL2and3
690,ExcitatoryL2and3
691,ExcitatoryL6
692,Other
693,ExcitatoryL6
694,Olig
695,Other
696,Olig
697,ExcitatoryL6
698,Olig
699,Olig
700,ExcitatoryL4
701,ExcitatoryL6
702,Endo
703,ExcitatoryL6
704,ExcitatoryL5
705,Astro
706,ExcitatoryL4
707,ExcitatoryL6
708,Endo
709,ExcitatoryL5
710,Endo
711,ExcitatoryL2and3
712,ExcitatoryL6
713,ExcitatoryL6
714,Olig
715,Endo
716,ExcitatoryL4
717,Olig
718,Astro
719,ExcitatoryL2and3
720,Olig
721,ExcitatoryL4
722,Other
723,Endo
724,ExcitatoryL5
725,Olig
726,ExcitatoryL6
727,ExcitatoryL4
728,ExcitatoryL5
729,ExcitatoryL5
730,Astro
731,Astro
732,Olig
733,Astro
734,ExcitatoryL2and3
735,ExcitatoryL6
736,Sst
737,Olig
738,Endo
739,ExcitatoryL6
740,Astro
741,ExcitatoryL2and3
742,ExcitatoryL6
743,ExcitatoryL4
744,ExcitatoryL4
745,Olig
746,ExcitatoryL4
747,ExcitatoryL6
748,Endo
749,ExcitatoryL4
750,ExcitatoryL2and3
751,Astro
752,ExcitatoryL5
753,ExcitatoryL4
754,ExcitatoryL6
755,Endo
756,ExcitatoryL4
757,ExcitatoryL6
758,Olig
759,ExcitatoryL2and3
760,ExcitatoryL2and3
761,ExcitatoryL2and3
762,Endo
763,ExcitatoryL6
764,Astro
765,Olig
766,ExcitatoryL4
767,Endo
768,ExcitatoryL6
769,Pvalb
770,ExcitatoryL5
771,ExcitatoryL4
772,Other
773,Astro
774,ExcitatoryL5
775,Olig
776,Endo
777,ExcitatoryL4
778,ExcitatoryL5
779,ExcitatoryL2and3
780,ExcitatoryL2and3
781,ExcitatoryL5
782,ExcitatoryL2and3
783,Astro
784,ExcitatoryL6
785,ExcitatoryL5
786,ExcitatoryL4
787,ExcitatoryL6
788,ExcitatoryL4
789,ExcitatoryL4
